student_id,CGPA,GATE,LOR,research_experience,work_experience,course,chances,university
0,5.28,457,0,1,0,1,32,BITS
1,0.43,34,1,1,1,1,15,BITS
2,0.03,104,0,1,0,1,0.7,BITS
3,0.08,157,4,0,1,1,0.5,BITS
4,4.19,823,2,0,1,1,42,BITS
5,4.92,610,1,0,1,1,38,BITS
6,3.07,445,0,1,1,1,30,BITS
7,5.81,554,4,0,0,1,36,BITS
8,8.59,307,4,0,0,1,49,BITS
9,0.29,35,2,1,1,1,22,BITS
10,9.37,357,4,1,1,1,52,BITS
11,2.26,157,1,0,1,1,29,BITS
12,2.9,680,4,1,1,1,48,BITS
13,4.86,581,1,1,0,1,43,BITS
14,4.78,144,0,0,1,1,24,BITS
15,3.73,285,0,1,1,1,34,BITS
16,2.12,338,1,0,1,1,23,BITS
17,6.63,23,3,1,1,1,16,BITS
18,4.69,492,0,1,1,1,27,BITS
19,6.71,733,2,0,1,1,62,BITS
20,7.87,787,4,0,1,1,68,BITS
21,3.87,871,1,1,0,1,38,BITS
22,7.63,980,0,0,0,1,72,BITS
23,6.74,649,4,0,0,1,63,BITS
24,4.97,740,4,0,1,1,56,BITS
25,2.6,774,4,1,0,1,26,BITS
26,9.07,76,0,0,1,1,42,BITS
27,4.07,41,0,1,0,1,14,BITS
28,8.2,908,1,1,0,1,81,BITS
29,8.27,301,0,1,1,1,59,BITS
30,3.27,423,2,0,0,1,28,BITS
31,7.55,299,0,0,1,1,62,BITS
32,8,602,0,0,1,1,73,BITS
33,7.44,487,4,1,0,1,68,BITS
34,0.86,337,1,0,0,1,14,BITS
35,0.29,200,1,0,1,1,3,BITS
36,7.41,615,4,1,1,1,73,BITS
37,5.74,596,2,1,0,1,49,BITS
38,8.82,65,2,1,0,1,45,BITS
39,5.38,237,3,1,0,1,39,BITS
40,8.82,844,4,1,0,1,82,BITS
41,4.48,243,1,0,1,1,52,BITS
42,9.93,780,0,0,1,1,86,BITS
43,0.31,932,3,1,0,1,0.6,BITS
44,8.34,398,1,0,0,1,52,BITS
45,9.39,930,4,0,0,1,90,BITS
46,0.63,235,3,0,0,1,11,BITS
47,6.62,192,3,1,0,1,41,BITS
48,1.86,379,0,0,1,1,8,BITS
49,5.37,221,2,0,0,1,22,BITS
50,6.5,85,2,0,1,1,12,BITS
51,8.46,681,1,1,0,1,83,BITS
52,2.67,133,3,1,0,1,8,BITS
53,3,722,2,0,1,1,46,BITS
54,7.58,109,0,1,1,1,33,BITS
55,7.05,534,4,0,1,1,44,BITS
56,6.35,58,3,0,0,1,30,BITS
57,4.99,34,2,0,1,1,16,BITS
58,2.99,8,4,0,0,1,6,BITS
59,5.69,998,3,0,0,1,52,BITS
60,4.84,54,3,0,1,1,19,BITS
61,7.12,289,3,1,0,1,43,BITS
62,5.88,878,3,1,1,1,52,BITS
63,6.21,655,2,1,1,1,46,BITS
64,6.16,875,4,1,0,1,80,BITS
65,7.6,682,4,1,0,1,85,BITS
66,6.47,755,2,0,0,1,79,BITS
67,3.24,695,3,1,0,1,26,BITS
68,3.67,717,4,1,0,1,31,BITS
69,0.56,918,0,0,0,1,22,BITS
70,8.16,792,1,0,0,1,83,BITS
71,8.02,631,0,1,0,1,82,BITS
72,4,570,4,1,0,1,46,BITS
73,2.5,344,1,0,0,1,25,BITS
74,8.61,484,3,0,0,1,56,BITS
75,3.18,473,0,0,0,1,48,BITS
76,1.52,849,2,0,1,1,36,BITS
77,6.24,185,4,0,0,1,29,BITS
78,4.32,577,1,1,1,1,45,BITS
79,8.34,232,0,0,1,1,52,BITS
80,6.1,894,4,1,1,1,79,BITS
81,8.18,201,1,0,1,1,56,BITS
82,4.96,235,1,0,0,1,39,BITS
83,0.95,390,1,0,1,1,26,BITS
84,7.29,0,1,0,1,1,2,BITS
85,8.54,939,3,0,0,1,91,BITS
86,9.55,386,3,1,0,1,78,BITS
87,1.15,317,0,0,1,1,2,BITS
88,1.08,24,1,0,0,1,22,BITS
89,7.08,429,2,0,1,1,53,BITS
90,2.95,730,0,1,1,1,58,BITS
91,6.06,592,4,1,0,1,59,BITS
92,7.71,117,0,0,1,1,37,BITS
93,7.46,858,4,0,1,1,87,BITS
94,6.4,113,2,0,0,1,23,BITS
95,2.82,734,3,1,0,1,29,BITS
96,3.59,669,1,1,0,1,35,BITS
97,9.08,107,2,0,0,1,46,BITS
98,1.76,430,3,1,0,1,38,BITS
99,3.53,968,0,0,0,1,48,BITS
